"Location Properties"
"Location Name = Pressure Transducer"
"Location ID = 5679063059922944"
"Latitude = 37.24039316383645 °"
"Longitude = -80.4825972028528 °"
"Time shown in UTC"
""
""
"Date Time","Depth (m)","Pressure (cm H₂O)","Temperature (C)"
"2020-04-30 22:00:00.000","9.79932","990.6250358190639","10.73"
"2020-04-30 22:15:00.000","9.79932","990.6250358190639","10.72"
"2020-04-30 22:30:00.000","9.802368","991.3281053973599","10.7"
"2020-04-30 22:45:00.000","9.802368","990.6250358190639","10.68"
"2020-04-30 23:00:00.000","9.802368","990.6250358190639","10.66"
"2020-04-30 23:15:00.000","9.79932","990.6250358190639","10.63"
"2020-04-30 23:30:00.000","9.79932","990.6250358190639","10.6"
"2020-04-30 23:45:00.000","9.79932","990.6250358190639","10.58"
"2020-05-01 00:00:00.000","9.796272","990.6250358190639","10.55"
"2020-05-01 00:15:00.000","9.79932","990.6250358190639","10.52"
"2020-05-01 00:30:00.000","9.796272","989.9219662407679","10.48"
"2020-05-01 00:45:00.000","9.79932","990.6250358190639","10.45"
"2020-05-01 01:00:00.000","9.79932","990.6250358190639","10.42"
"2020-05-01 01:15:00.000","9.79932","990.6250358190639","10.4"
"2020-05-01 01:30:00.000","9.796272","989.9219662407679","10.38"
"2020-05-01 01:45:00.000","9.793224000000002","989.9219662407679","10.37"
"2020-05-01 02:00:00.000","9.793224000000002","989.9219662407679","10.35"
"2020-05-01 02:15:00.000","9.790175999999999","989.2188966624719","10.34"
"2020-05-01 02:30:00.000","9.793224000000002","989.2188966624719","10.33"
"2020-05-01 02:45:00.000","9.790175999999999","989.2188966624719","10.31"
"2020-05-01 03:00:00.000","9.790175999999999","989.2188966624719","10.29"
"2020-05-01 03:15:00.000","9.790175999999999","989.2188966624719","10.28"
"2020-05-01 03:30:00.000","9.787128000000001","989.2188966624719","10.27"
"2020-05-01 03:45:00.000","9.790175999999999","989.2188966624719","10.25"
"2020-05-01 04:00:00.000","9.790175999999999","989.2188966624719","10.24"
"2020-05-01 04:15:00.000","9.790175999999999","989.2188966624719","10.22"
"2020-05-01 04:30:00.000","9.793224000000002","989.2188966624719","10.21"
"2020-05-01 04:45:00.000","9.790175999999999","989.2188966624719","10.2"
"2020-05-01 05:00:00.000","9.793224000000002","989.2188966624719","10.18"
"2020-05-01 05:15:00.000","9.790175999999999","989.2188966624719","10.18"
"2020-05-01 05:30:00.000","9.793224000000002","989.9219662407679","10.17"
"2020-05-01 05:45:00.000","9.793224000000002","989.2188966624719","10.16"
"2020-05-01 06:00:00.000","9.796272","989.9219662407679","10.14"
"2020-05-01 06:15:00.000","9.796272","989.9219662407679","10.13"
"2020-05-01 06:30:00.000","9.796272","989.9219662407679","10.12"
"2020-05-01 06:45:00.000","9.796272","989.9219662407679","10.1"
"2020-05-01 07:00:00.000","9.79932","989.9219662407679","10.09"
"2020-05-01 07:15:00.000","9.802368","989.9219662407679","10.08"
"2020-05-01 07:30:00.000","9.802368","990.6250358190639","10.07"
"2020-05-01 07:45:00.000","9.805416000000001","990.6250358190639","10.07"
"2020-05-01 08:00:00.000","9.805416000000001","990.6250358190639","10.06"
"2020-05-01 08:15:00.000","9.808464","990.6250358190639","10.06"
"2020-05-01 08:30:00.000","9.811512","991.3281053973599","10.06"
"2020-05-01 08:45:00.000","9.811512","991.3281053973599","10.07"
"2020-05-01 09:00:00.000","9.811512","991.3281053973599","10.07"
"2020-05-01 09:15:00.000","9.811512","991.3281053973599","10.07"
"2020-05-01 09:30:00.000","9.811512","991.3281053973599","10.08"
"2020-05-01 09:45:00.000","9.814560000000002","991.3281053973599","10.09"
